"trap_id","zone","zone2","trap_date","year","week","spp","method","trap_status","total"
"FC-019","NE","FC",2019-08-11,2019,32,"Tarsalis","L","culex",41
"FC-034","NE","FC",2019-08-11,2019,33,"Pipiens","L","culex",15
"FC-034","NE","FC",2019-08-11,2019,32,"Pipiens","L","culex",15
"FC-034","NE","FC",2019-08-11,2019,33,"Tarsalis","L","culex",161
"FC-034","NE","FC",2019-08-11,2019,32,"Tarsalis","L","culex",161
"FC-036","NW","FC",2019-08-11,2019,33,"Pipiens","L","culex",4
"FC-036","NW","FC",2019-08-11,2019,32,"Pipiens","L","culex",4
"FC-036","NW","FC",2019-08-11,2019,33,"Tarsalis","L","culex",89
"FC-036","NW","FC",2019-08-11,2019,32,"Tarsalis","L","culex",89
"FC-038","NE","FC",2019-08-11,2019,33,"Pipiens","L","culex",5
"FC-038","NE","FC",2019-08-11,2019,32,"Pipiens","L","culex",5
"FC-038","NE","FC",2019-08-11,2019,33,"Tarsalis","L","culex",58
"FC-038","NE","FC",2019-08-11,2019,32,"Tarsalis","L","culex",58
"FC-040","NE","FC",2019-08-11,2019,33,"Pipiens","L","culex",16
"FC-040","NE","FC",2019-08-11,2019,32,"Pipiens","L","culex",16
"FC-040","NE","FC",2019-08-11,2019,33,"Tarsalis","L","culex",61
"FC-040","NE","FC",2019-08-11,2019,32,"Tarsalis","L","culex",61
"FC-040GR","NE","FC",2019-08-11,2019,33,"Pipiens","G","culex",28
"FC-040GR","NE","FC",2019-08-11,2019,32,"Pipiens","G","culex",28
"FC-040GR","NE","FC",2019-08-11,2019,33,"Tarsalis","G","culex",0
"FC-066","NE","FC",2019-08-11,2019,33,"Pipiens","L","culex",19
"FC-066","NE","FC",2019-08-11,2019,32,"Pipiens","L","culex",19
"FC-066","NE","FC",2019-08-11,2019,33,"Tarsalis","L","culex",60
"FC-066","NE","FC",2019-08-11,2019,32,"Tarsalis","L","culex",60
"FC-066GR","NE","FC",2019-08-11,2019,33,"Pipiens","G","culex",46
"FC-066GR","NE","FC",2019-08-11,2019,32,"Pipiens","G","culex",46
"FC-066GR","NE","FC",2019-08-11,2019,33,"Tarsalis","G","culex",0
"FC-067","NE","FC",2019-08-11,2019,33,"Pipiens","L","culex",0
"FC-067","NE","FC",2019-08-11,2019,33,"Tarsalis","L","culex",67
"FC-067","NE","FC",2019-08-11,2019,32,"Tarsalis","L","culex",67
"FC-069","NE","FC",2019-08-11,2019,33,"Pipiens","L","culex",3
"FC-069","NE","FC",2019-08-11,2019,32,"Pipiens","L","culex",3
"FC-069","NE","FC",2019-08-11,2019,33,"Tarsalis","L","culex",64
"FC-069","NE","FC",2019-08-11,2019,32,"Tarsalis","L","culex",64
"FC-072","NE","FC",2019-08-11,2019,33,"Pipiens","L","culex",0
"FC-072","NE","FC",2019-08-11,2019,33,"Tarsalis","L","culex",19
"FC-072","NE","FC",2019-08-11,2019,32,"Tarsalis","L","culex",19
"FC-091GR","NE","FC",2019-08-11,2019,33,"Pipiens","G","culex",0
"FC-091GR","NE","FC",2019-08-11,2019,33,"Tarsalis","G","culex",0
"FC-092GR","NE","FC",2019-08-11,2019,33,"Pipiens","G","culex",11
"FC-092GR","NE","FC",2019-08-11,2019,32,"Pipiens","G","culex",11
"FC-092GR","NE","FC",2019-08-11,2019,33,"Tarsalis","G","culex",3
"FC-092GR","NE","FC",2019-08-11,2019,32,"Tarsalis","G","culex",3
