"well_position","ct_threshold","year","week","plate","copies_SLEV","copies_WNV","cq_SLEV","cq","csu_id"
"D4","34000","24","24","plate_1",0,0,55.55,35.69,"CSU-21833"
"D5","34000","24","24","plate_1",0,0,55.55,55.55,"CSU-21841"
"D6","34000","24","24","plate_1",0,0,55.55,55.55,"CSU-21849"
"D7","34000","24","24","plate_1",0,0,55.55,35.71,"CDC-4"
"D11","34000","24","24","plate_1",0,0,18.7,36.75,"slev_std_1e6"
"D12","34000","24","24","plate_1",0,0,18.8,35.99,"slev_std_1e6"
"E1","34000","24","24","plate_1",0,0,55.55,55.55,"CSU-21810"
"E2","34000","24","24","plate_1",0,0,55.55,35.76,"CSU-21818"
"E3","34000","24","24","plate_1",0,0,55.55,55.55,"CSU-21826"
"E4","34000","24","24","plate_1",0,0,55.55,55.55,"CSU-21834"
"E5","34000","24","24","plate_1",0,0,55.55,36.9,"CSU-21842"
"E6","34000","24","24","plate_1",0,0,36.1,36.9,"CSU-21850"
"E7","34000","24","24","plate_1",0,0,55.55,55.55,"CDC-6"
"E11","34000","24","24","plate_1",0,0,25.09,36.53,"slev_std_1e4"
"E12","34000","24","24","plate_1",0,0,25.38,38.82,"slev_std_1e4"
"F1","34000","24","24","plate_1",0,0,37.52,35.15,"CSU-21811"
"F2","34000","24","24","plate_1",0,0,55.55,55.55,"CSU-21819"
"F3","34000","24","24","plate_1",0,0,55.55,55.55,"CSU-21827"
"F4","34000","24","24","plate_1",0,0,55.55,35.01,"CSU-21835"
"F5","34000","24","24","plate_1",0,0,55.55,35.69,"CSU-21843"
"F6","34000","24","24","plate_1",0,0,55.55,35.79,"CSU-21851"
"F7","34000","24","24","plate_1",0,0,35.84,35.91,"CDC-7"
"F11","34000","24","24","plate_1",0,0,31.41,34.35,"slev_std_1e2"
"F12","34000","24","24","plate_1",0,0,31.57,33.78,"slev_std_1e2"
"G1","34000","24","24","plate_1",0,0,55.55,36.43,"CSU-21812"
"G2","34000","24","24","plate_1",0,0,55.55,36.6,"CSU-21820"
"G3","34000","24","24","plate_1",0,0,55.55,55.55,"CSU-21828"
"G4","34000","24","24","plate_1",0,0,55.55,55.55,"CSU-21836"
"G5","34000","24","24","plate_1",0,0,55.55,55.55,"CSU-21844"
"G6","34000","24","24","plate_1",0,0,38.46,34.41,"CSU-21852"
"G7","34000","24","24","plate_1",0,0,55.55,35.24,"RMRP-00421"
"G11","34000","24","24","plate_1",0,0,35.53,35.02,"neg pcr ctrl"
"G12","34000","24","24","plate_1",0,0,55.55,35.24,"neg pcr ctrl"
"H1","34000","24","24","plate_1",0,0,37.62,34.04,"CSU-21813"
"H2","34000","24","24","plate_1",0,0,35.8,34.68,"CSU-21821"
"H3","34000","24","24","plate_1",0,0,55.55,34.68,"CSU-21829"
"H4","34000","24","24","plate_1",0,0,55.55,34.96,"CSU-21837"
"H5","34000","24","24","plate_1",0,0,55.55,36.58,"CSU-21845"
"H6","34000","24","24","plate_1",0,0,55.55,35.73,"CSU-21853"
"H7","34000","24","24","plate_1",0,0,37.29,34.14,"RMRP-00422"
"H10","34000","24","24","plate_1",0,0,55.55,55.55,"neg pcr ctrl"
"H11","34000","24","24","plate_1",0,0,55.55,55.55,"pos extract ctl"
"H12","34000","24","24","plate_1",0,0,35.89,34.9,"neg pcr ctrl"
"A1","34000","24","25","plate_1",5.51,0,35.58,55.55,"CSU-21854"
"A2","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21862"
"A3","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21870"
"A4","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21878"
"A5","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21886"
"A6","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21894"
"A7","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21902"
"A8","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21910"
"A9","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21918"
"A10","34000","24","25","plate_1",1.31,0,37.6,55.55,"CDC-012"
"A12","34000","24","25","plate_1",0,1e+06,55.55,18.16,"wnv_std_1e6"
"B1","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21855"
"B2","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21863"
"B3","34000","24","25","plate_1",1.72,0.33,37.22,39.26,"CSU-21871"
"B4","34000","24","25","plate_1",0,1.88,55.55,36.8,"CSU-21879"
"B5","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21887"
"B6","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21895"
"B7","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21903"
"B8","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21911"
"B9","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21919"
"B10","34000","24","25","plate_1",0,0,55.55,55.55,"CDC-013"
"B12","34000","24","25","plate_1",0,10000,55.55,24.61,"wnv_std_1e4"
"C1","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21856"
"C2","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21864"
"C3","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21872"
"C4","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21880"
"C5","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21888"
"C6","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21896"
"C7","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21904"
"C8","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21912"
"C9","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21920"
"C10","34000","24","25","plate_1",0,0,55.55,55.55,"CDC-014"
"C12","34000","24","25","plate_1",0.38,100,39.34,31.2,"wnv_std_1e2"
"D1","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21857"
"D2","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21865"
"D3","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21873"
"D4","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21881"
"D5","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21889"
"D6","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21897"
"D7","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21905"
"D8","34000","24","25","plate_1",0,0.4,55.55,39.01,"CSU-21913"
"D9","34000","24","25","plate_1",0,0,55.55,55.55,"CDC-005"
"D10","34000","24","25","plate_1",2.85,0.28,36.51,39.47,"CDC-015"
"D12","34000","24","25","plate_1",1e+06,4.46,18.46,35.58,"slev_std_1e6"
"E1","34000","24","25","plate_1",0,0,55.55,55.55,"CSU-21858"
