"well_position","ct_threshold","quantity","plate","SLEV_cq","cq","csu_id"
"H3","34000","40.035354614257812","plate_1",NA,32.92,"CSU-21944"
"H4","34000",NA,"plate_1",55.55,NA,"CSU-21952"
"H4","34000","43.127578735351562","plate_1",NA,32.82,"CSU-21952"
"H5","34000","5.2318325042724609","plate_1",36.23,NA,"CSU-21960"
"H5","34000","16.697471618652344","plate_1",NA,34.05,"CSU-21960"
"H6","34000","7.8861126899719238","plate_1",35.66,NA,"CSU-21968"
"H6","34000","37.757965087890625","plate_1",NA,32.99,"CSU-21968"
"H7","34000",NA,"plate_1",55.55,NA,"CSU-21976"
"H7","34000","37.805110931396484","plate_1",NA,32.99,"CSU-21976"
"H8","34000","0.68930143117904663","plate_1",39.02,NA,"CSU-21984"
"H8","34000","17.56300163269043","plate_1",NA,33.99,"CSU-21984"
"H9","34000","0.59846353530883789","plate_1",39.22,NA,"CSU-21992"
"H9","34000","13.174516677856445","plate_1",NA,34.36,"CSU-21992"
"H10","34000",NA,"plate_1",55.55,33.53,"EG neg ctl"
"H11","34000","70267.09375","plate_1",23.13,NA,"EG pos ctl"
"H11","34000","6142613.5","plate_1",NA,17.37,"EG pos ctl"
"H12","34000",NA,"plate_1",35.21,32.52,"mos dil"
"A1","34000",NA,"plate_2",55.55,NA,"CSU-22000"
"A1","34000","11.411142349243164","plate_2",NA,33.97,"CSU-22000"
"A2","34000",NA,"plate_2",55.55,NA,"CSU-22008"
"A2","34000","9.3477754592895508","plate_2",NA,34.23,"CSU-22008"
"A3","34000","7.3196115493774414","plate_2",34.76,NA,"CSU-22016"
"A3","34000","17.387321472167969","plate_2",NA,33.41,"CSU-22016"
"A4","34000",NA,"plate_2",55.55,55.55,"BOU-00210"
"A5","34000","0.90268546342849731","plate_2",37.62,NA,"CDC-026"
"A5","34000","21.214616775512695","plate_2",NA,33.14,"CDC-026"
"A6","34000","0.59734857082366943","plate_2",38.18,NA,"CDC-034"
"A6","34000","20.599660873413086","plate_2",NA,33.18,"CDC-034"
"A12","34000",NA,"plate_2",55.55,NA,"standard"
"A12","34000","1000000","plate_2",NA,18.84,"standard"
"B1","34000","0.24774663150310516","plate_2",39.38,NA,"CSU-22001"
"B1","34000","11.448020935058594","plate_2",NA,33.96,"CSU-22001"
"B2","34000",NA,"plate_2",55.55,55.55,"CSU-22009"
"B3","34000",NA,"plate_2",55.55,55.55,"CSU-22017"
"B4","34000",NA,"plate_2",55.55,55.55,"CDC-019"
"B5","34000",NA,"plate_2",55.55,NA,"CDC-027"
"B5","34000","8.6236934661865234","plate_2",NA,34.34,"CDC-027"
"B6","34000",NA,"plate_2",55.55,55.55,"CDC-035"
"B12","34000",NA,"plate_2",55.55,NA,"standard"
"B12","34000","10000","plate_2",NA,25.01,"standard"
"C1","34000",NA,"plate_2",55.55,NA,"CSU-22002"
"C1","34000","5.1906204223632812","plate_2",NA,35.01,"CSU-22002"
"C2","34000","6.3536005020141602","plate_2",34.95,NA,"CSU-22010"
"C2","34000","27.578824996948242","plate_2",NA,32.79,"CSU-22010"
"C3","34000","48.239772796630859","plate_2",32.19,NA,"CSU-22018"
"C3","34000","14.818755149841309","plate_2",NA,33.62,"CSU-22018"
"C4","34000",NA,"plate_2",55.55,55.55,"CDC-020"
"C5","34000",NA,"plate_2",55.55,55.55,"CDC-028"
"C6","34000","6.1458249092102051","plate_2",35,NA,"RMRP-00433"
"C6","34000","33.365272521972656","plate_2",NA,32.54,"RMRP-00433"
"C12","34000","14.197258949279785","plate_2",33.86,NA,"standard"
"C12","34000","100","plate_2",NA,31.06,"standard"
"D1","34000",NA,"plate_2",55.55,NA,"CSU-22003"
"D1","34000","1.3091599941253662","plate_2",NA,36.84,"CSU-22003"
"D2","34000","7.7408342361450195","plate_2",34.68,NA,"CSU-22011"
"D2","34000","16.7261962890625","plate_2",NA,33.46,"CSU-22011"
"D3","34000","3.830913782119751","plate_2",35.64,NA,"CSU-22019"
"D3","34000","19.747106552124023","plate_2",NA,33.24,"CSU-22019"
"D4","34000","5.3688230514526367","plate_2",35.18,NA,"CDC-021"
"D4","34000","23.605476379394531","plate_2",NA,33,"CDC-021"
"D5","34000",NA,"plate_2",55.55,55.55,"CDC-029"
"D6","34000","5.0858941078186035","plate_2",35.26,NA,"RMRP-00434"
"D6","34000","29.597042083740234","plate_2",NA,32.7,"RMRP-00434"
"D12","34000","1000000","plate_2",18.62,NA,"standard"
"D12","34000","19.803525924682617","plate_2",NA,33.23,"standard"
"E1","34000","0.22394856810569763","plate_2",39.52,NA,"CSU-22004"
"E1","34000","11.449172973632812","plate_2",NA,33.96,"CSU-22004"
"E2","34000","4.386408805847168","plate_2",35.46,NA,"CSU-22012"
"E2","34000","13.507257461547852","plate_2",NA,33.74,"CSU-22012"
"E3","34000","0.25904816389083862","plate_2",39.32,NA,"BOU-00206"
"E3","34000","28.498748779296875","plate_2",NA,32.75,"BOU-00206"
"E4","34000",NA,"plate_2",55.55,NA,"CDC-022"
"E4","34000","12.146478652954102","plate_2",NA,33.88,"CDC-022"
"E5","34000",NA,"plate_2",55.55,55.55,"CDC-030"
"E12","34000","10000","plate_2",24.91,NA,"standard"
"E12","34000","19.842996597290039","plate_2",NA,33.23,"standard"
"F1","34000","0.98968857526779175","plate_2",37.49,NA,"CSU-22005"
"F1","34000","12.538339614868164","plate_2",NA,33.84,"CSU-22005"
"F2","34000","0.8654787540435791","plate_2",37.67,NA,"CSU-22013"
"F2","34000","13.104303359985352","plate_2",NA,33.78,"CSU-22013"
"F3","34000","0.55844038724899292","plate_2",38.27,NA,"BOU-00207"
"F3","34000","17.387922286987305","plate_2",NA,33.41,"BOU-00207"
"F4","34000","25.863681793212891","plate_2",33.04,NA,"CDC-023"
"F4","34000","22.402683258056641","plate_2",NA,33.07,"CDC-023"
"F5","34000",NA,"plate_2",55.55,55.55,"CDC-031"
"F11","34000",NA,"plate_2",55.55,NA,"pos ctrl (csu21004)"
"F11","34000","2649.488525390625","plate_2",NA,26.73,"pos ctrl (csu21004)"
"F12","34000","100","plate_2",55.55,NA,"standard"
"F12","34000",NA,"plate_2",NA,55.55,"standard"
"G1","34000","0.27245253324508667","plate_2",39.25,NA,"CSU-22006"
"G1","34000","11.892009735107422","plate_2",NA,33.91,"CSU-22006"
"G2","34000","6.0800471305847168","plate_2",35.01,NA,"CSU-22014"
"G2","34000","14.630450248718262","plate_2",NA,33.64,"CSU-22014"
"G3","34000","2.4895873069763184","plate_2",36.23,NA,"BOU-00208"
"G3","34000","18.935220718383789","plate_2",NA,33.29,"BOU-00208"
"G4","34000","2.4497776031494141","plate_2",36.25,NA,"CDC-024"
"G4","34000","13.424692153930664","plate_2",NA,33.75,"CDC-024"
"G5","34000",NA,"plate_2",55.55,NA,"CDC-032"
"G5","34000","15.473110198974609","plate_2",NA,33.56,"CDC-032"
"G11","34000","315028.34375","plate_2",20.2,NA,"pos ctrl"
"G11","34000","20151254","plate_2",NA,14.87,"pos ctrl"
"H1","34000",NA,"plate_2",55.55,NA,"CSU-22007"
"H1","34000","14.95537281036377","plate_2",NA,33.61,"CSU-22007"
"H2","34000","30.658517837524414","plate_2",32.81,NA,"CSU-22015"
"H2","34000","18.369968414306641","plate_2",NA,33.33,"CSU-22015"
"H3","34000",NA,"plate_2",55.55,NA,"BOU-00209"
"H3","34000","10.115840911865234","plate_2",NA,34.13,"BOU-00209"
"H4","34000",NA,"plate_2",55.55,NA,"CDC-025"
"H4","34000","2.1830389499664307","plate_2",NA,36.16,"CDC-025"
"H5","34000",NA,"plate_2",55.55,NA,"CDC-033"
"H5","34000","3.5117013454437256","plate_2",NA,35.53,"CDC-033"
"H10","34000","2.2209727764129639","plate_2",36.39,NA,"neg ctrl"
"H10","34000","25.806478500366211","plate_2",NA,32.88,"neg ctrl"
"H11","34000","958188.8125","plate_2",18.68,NA,"pos ctrl"
"H11","34000","29182096","plate_2",NA,14.38,"pos ctrl"
"H12","34000","4.5757851600646973","plate_2",35.4,NA,"mos dil"
"H12","34000","27.224384307861328","plate_2",NA,32.81,"mos dil"
