"well_position","ct_threshold","plate","copies_SLEV","copies_WNV","cq_SLEV","cq","csu_id"
"E6","34000","plate_2",0,0,55.55,55.55,"CDC-133"
"E7","34000","plate_2",0,266209.81,55.55,20.05,"CDC-141"
"E8","34000","plate_2",0,0,55.55,55.55,"CDC-149"
"E9","34000","plate_2",0,0,55.55,55.55,"RMRP-00534"
"E10","34000","plate_2",0,0,55.55,55.55,"RMRP-00542"
"E11","34000","plate_2",783118.12,18907266,18.72,13.96,"pos rna ctrl"
"E12","34000","plate_2",10000,0,24.81,55.55,"slev_std_1e4"
"F1","34000","plate_2",0,1.18,55.55,37.67,"CSU-22539"
"F2","34000","plate_2",0,0.49,55.55,38.92,"CSU-22547"
"F3","34000","plate_2",0,0.56,55.55,38.73,"CSU-22555"
"F4","34000","plate_2",0,0,55.55,55.55,"CSU-22563"
"F5","34000","plate_2",0,20674.44,55.55,23.71,"CDC-126"
"F6","34000","plate_2",0,0,55.55,55.55,"CDC-134"
"F7","34000","plate_2",0,0,55.55,55.55,"CDC-142"
"F8","34000","plate_2",0,135401.08,55.55,21.02,"CDC-150"
"F9","34000","plate_2",0,16.77,55.55,33.88,"RMRP-00535"
"F10","34000","plate_2",0,0.47,55.55,38.99,"RMRP-00543"
"F12","34000","plate_2",100,0,31.17,55.55,"slev_std_1e2"
"G1","34000","plate_2",0,0,55.55,55.55,"CSU-22540"
"G2","34000","plate_2",0,0,55.55,55.55,"CSU-22548"
"G3","34000","plate_2",0,0,55.55,55.55,"CSU-22556"
"G4","34000","plate_2",0,0,55.55,55.55,"CSU-22564"
"G5","34000","plate_2",0,0,55.55,55.55,"CDC-127"
"G6","34000","plate_2",0,0,55.55,55.55,"CDC-135"
"G7","34000","plate_2",0,0,55.55,55.55,"CDC-143"
"G8","34000","plate_2",0,0,55.55,55.55,"BOU-00231"
"G9","34000","plate_2",0,783.75,55.55,28.38,"RMRP-00536"
"G10","34000","plate_2",0,0,55.55,55.55,"RMRP-00544"
"G12","34000","plate_2",0,0.65,55.55,38.52,"neg pcr ctrl"
"H1","34000","plate_2",50.53,0,32.13,55.55,"CSU-22541"
"H2","34000","plate_2",0,0,55.55,55.55,"CSU-22549"
"H3","34000","plate_2",0,0,55.55,55.55,"CSU-22557"
"H4","34000","plate_2",0,0.56,55.55,38.74,"CSU-22565"
"H5","34000","plate_2",1.67,0,36.87,55.55,"CDC-128"
"H6","34000","plate_2",0,0,55.55,55.55,"CDC-136"
"H7","34000","plate_2",0,0,55.55,55.55,"CDC-144"
"H8","34000","plate_2",0,0,55.55,55.55,"BOU-00232"
"H9","34000","plate_2",0,0,55.55,55.55,"RMRP-00537"
"H10","34000","plate_2",0,0,55.55,55.55,"RMRP-00545"
"H12","34000","plate_2",0,0,55.55,55.55,"neg ext ctrl"
