"well_position","ct_threshold","plate","copies_SLEV","copies_WNV","cq_SLEV","cq","csu_id"
"B5","34000","plate_2",0,5.12,55.55,35.99,"BOU-00215"
"B6","34000","plate_2",0,2.01,55.55,37.28,"CDC-045"
"B7","34000","plate_2",0,3.78,55.55,36.41,"CDC-053"
"B12","34000","plate_2",0,10000,55.55,25.4,"wnv_std_1e4"
"C1","34000","plate_2",0.67,1.66,38.56,37.55,"CSU-22109"
"C2","34000","plate_2",0.26,5.62,39.89,35.86,"RMRP-00440"
"C3","34000","plate_2",0,2.15,55.55,37.19,"RMRP-00448"
"C4","34000","plate_2",0,0,55.55,55.55,"RMRP-00456"
"C5","34000","plate_2",0,3.84,55.55,36.39,"CDC-038"
"C6","34000","plate_2",0,5.44,55.55,35.91,"CDC-046"
"C7","34000","plate_2",0,0,55.55,55.55,"CDC-054"
"C12","34000","plate_2",23.16,100,33.63,31.92,"wnv_std_1e2"
"D1","34000","plate_2",0,1.43,55.55,37.76,"CSU-22110"
"D2","34000","plate_2",0,1.69,55.55,37.53,"RMRP-00441"
"D3","34000","plate_2",0,0.97,55.55,38.3,"RMRP-00449"
"D4","34000","plate_2",0,0,55.55,55.55,"RMRP-00457"
"D5","34000","plate_2",0,0,55.55,55.55,"CDC-039"
"D6","34000","plate_2",0,4.8,55.55,36.08,"CDC-047"
"D7","34000","plate_2",1.19,0,37.77,55.55,"CDC-055"
"D12","34000","plate_2",1e+06,12.97,18.77,34.7,"slev_std_1e6"
"E1","34000","plate_2",0.86,5.76,38.21,35.83,"CSU-22111"
"E2","34000","plate_2",2.06,9.7,37,35.1,"RMRP-00442"
"E3","34000","plate_2",0,16.95,55.55,34.33,"RMRP-00450"
"E4","34000","plate_2",0,10.35,55.55,35.01,"RMRP-00458"
"E5","34000","plate_2",0,3.18,55.55,36.65,"CDC-040"
"E6","34000","plate_2",0,9.79,55.55,35.09,"CDC-048"
"E7","34000","plate_2",731581.62,12388739,19.2,15.62,"pos rna ctrl"
"E12","34000","plate_2",10000,5.87,25.17,35.8,"slev_std_1e4"
"F1","34000","plate_2",0,0.83,55.55,38.51,"RMRP-00435"
"F2","34000","plate_2",0,5.34,55.55,35.93,"RMRP-00443"
"F3","34000","plate_2",0,6.47,55.55,35.67,"RMRP-00451"
"F4","34000","plate_2",0,0,55.55,55.55,"BOU-00211"
"F5","34000","plate_2",0,8.25,55.55,35.33,"CDC-041"
"F6","34000","plate_2",0,0,55.55,55.55,"CDC-049"
"F12","34000","plate_2",100,6.83,31.59,35.59,"slev_std_1e2"
"G1","34000","plate_2",2.13,1.47,36.95,37.72,"RMRP-00436"
"G2","34000","plate_2",0,9.26,55.55,35.17,"RMRP-00444"
"G3","34000","plate_2",0,13.38,55.55,34.66,"RMRP-00452"
"G4","34000","plate_2",0,0,55.55,55.55,"BOU-00212"
"G5","34000","plate_2",0,3.95,55.55,36.35,"CDC-042"
"G6","34000","plate_2",0,0,55.55,55.55,"CDC-050"
"G12","34000","plate_2",0.66,5.23,38.58,35.96,"neg h2O pcr ctrl"
"H1","34000","plate_2",0.6,0.94,38.72,38.34,"RMRP-00437"
"H2","34000","plate_2",0.27,3.22,39.84,36.63,"RMRP-00445"
"H3","34000","plate_2",0.68,10.31,38.54,35.02,"RMRP-00453"
"H4","34000","plate_2",0,4.83,55.55,36.07,"BOU-00213"
"H5","34000","plate_2",1.25,5.07,37.69,36,"CDC-043"
"H6","34000","plate_2",0,0,55.55,55.55,"CDC-051"
"H12","34000","plate_2",0,0.67,55.55,38.8,"neg rna ctrl"
