"well_position","ct_threshold","plate","copies_SLEV","copies_WNV","cq_SLEV","cq","csu_id"
"F1","34000","plate_2",0,0,55.55,55.55,"CSU-22204"
"F2","34000","plate_2",0,0,55.55,55.55,"CSU-22212"
"F3","34000","plate_2",0,0,55.55,55.55,"CDC-057"
"F4","34000","plate_2",0,0,55.55,55.55,"CDC-065"
"F5","34000","plate_2",0,0,55.55,55.55,"CDC-073"
"F6","34000","plate_2",0,0,55.55,55.55,"RMRP-00460"
"F7","34000","plate_2",0,0,55.55,55.55,"RMRP-00468"
"F8","34000","plate_2",0,0,55.55,55.55,"RMRP-00476"
"F9","34000","plate_2",0,0,55.55,55.55,"RMRP-00484"
"F12","34000","plate_2",100,92.21,31.61,32.89,"slev_std_1e2"
"G1","34000","plate_2",0,0,55.55,55.55,"CSU-22205"
"G2","34000","plate_2",0,0,55.55,55.55,"CSU-22213"
"G3","34000","plate_2",0,0,55.55,55.55,"CDC-058"
"G4","34000","plate_2",0,0,55.55,55.55,"CDC-066"
"G5","34000","plate_2",0,0,55.55,55.55,"CDC-074"
"G6","34000","plate_2",0,1033466.75,55.55,18.05,"RMRP-00461"
"G7","34000","plate_2",0,0,55.55,55.55,"RMRP-00469"
"G8","34000","plate_2",0,0,55.55,55.55,"RMRP-00477"
"G9","34000","plate_2",0,0,55.55,55.55,"RMRP-00485"
"G12","34000","plate_2",0,2.64,55.55,38.54,"neg h2O pcr ctrl"
"H1","34000","plate_2",0,98.78,55.55,32.78,"CSU-22206"
"H2","34000","plate_2",0,141.78,55.55,32.2,"CSU-22214"
"H3","34000","plate_2",0,71.91,55.55,33.28,"CDC-059"
"H4","34000","plate_2",0,5169.19,55.55,26.48,"CDC-067"
"H5","34000","plate_2",0,0,55.55,55.55,"BOU-00216"
"H6","34000","plate_2",0,11,55.55,36.27,"RMRP-00462"
"H7","34000","plate_2",0,0,55.55,55.55,"RMRP-00470"
"H8","34000","plate_2",0,0,55.55,55.55,"RMRP-00478"
"H9","34000","plate_2",0,0,55.55,55.55,"RMRP-00486"
"H12","34000","plate_2",0,0,55.55,55.55,"neg rna ctrl"
