"zone","week","spp","type","abund","pir","vi","type2"
"SW","34","Pipiens","hx",4.456,0.0136,0.06407,"hx_Pipiens"
"SW","34","Tarsalis","hx",10.755,0.00362,0.05716,"hx_Tarsalis"
"SW","35","Pipiens","hx",2.377,0.0177,0.04783,"hx_Pipiens"
"SW","35","Tarsalis","hx",5.801,0,0,"hx_Tarsalis"
"SW","36","Pipiens","hx",1.83375,0.012325,0.0264,"hx_Pipiens"
"SW","36","Tarsalis","hx",2.89,0,0,"hx_Tarsalis"
"SW","37","Pipiens","hx",0.951428571428571,0,0,"hx_Pipiens"
"SW","37","Tarsalis","hx",1.31857142857143,0,0,"hx_Tarsalis"
"FC","23","Pipiens","hx",0.52,0,0,"hx_Pipiens"
"FC","23","Pipiens","current",0.56,0,0,"current_Pipiens"
"FC","23","Tarsalis","hx",3.28666666666667,0,0,"hx_Tarsalis"
"FC","23","Tarsalis","current",1.81,0,0,"current_Tarsalis"
"FC","24","Pipiens","hx",0.58,0,0,"hx_Pipiens"
"FC","24","Tarsalis","hx",3.69444444444444,0,0,"hx_Tarsalis"
"FC","25","Pipiens","hx",1.066,0,0,"hx_Pipiens"
"FC","25","Tarsalis","hx",11.751,0,0,"hx_Tarsalis"
"FC","26","Pipiens","hx",2.579,0.00019,0.00046,"hx_Pipiens"
"FC","26","Tarsalis","hx",31.682,7e-05,0.00548,"hx_Tarsalis"
"FC","27","Pipiens","hx",4.056,0.00015,0.00092,"hx_Pipiens"
"FC","27","Tarsalis","hx",43.895,0.00025,0.01354,"hx_Tarsalis"
"FC","28","Pipiens","hx",6.338,0.00093,0.00884,"hx_Pipiens"
"FC","28","Tarsalis","hx",79.072,0.00042,0.05679,"hx_Tarsalis"
"FC","29","Pipiens","hx",7.649,0.00171,0.0206,"hx_Pipiens"
"FC","29","Tarsalis","hx",81.677,0.00104,0.10166,"hx_Tarsalis"
"FC","30","Pipiens","hx",10.9281818181818,0.00198181818181818,0.0244090909090909,"hx_Pipiens"
"FC","30","Tarsalis","hx",67.3436363636364,0.0017,0.105945454545455,"hx_Tarsalis"
"FC","31","Pipiens","hx",12.427,0.00635,0.07236,"hx_Pipiens"
"FC","31","Tarsalis","hx",45.212,0.00324,0.1515,"hx_Tarsalis"
"FC","32","Pipiens","hx",16.357,0.00605,0.09006,"hx_Pipiens"
"FC","32","Tarsalis","hx",29.767,0.00433,0.1155,"hx_Tarsalis"
"FC","33","Pipiens","hx",14.011,0.0089,0.10731,"hx_Pipiens"
"FC","33","Tarsalis","hx",25.84,0.0057,0.12592,"hx_Tarsalis"
"FC","34","Pipiens","hx",13.635,0.01119,0.11845,"hx_Pipiens"
"FC","34","Tarsalis","hx",16.71,0.00441,0.08119,"hx_Tarsalis"
"FC","35","Pipiens","hx",10.339,0.01103,0.11554,"hx_Pipiens"
"FC","35","Tarsalis","hx",9.144,0.00829,0.07277,"hx_Tarsalis"
"FC","36","Pipiens","hx",10.43,0.0058125,0.055725,"hx_Pipiens"
"FC","36","Tarsalis","hx",5.27125,8e-04,0.0060875,"hx_Tarsalis"
"FC","37","Pipiens","hx",10.6885714285714,0.00461428571428571,0.0405857142857143,"hx_Pipiens"
"FC","37","Tarsalis","hx",1.78285714285714,0,0,"hx_Tarsalis"
"LV","23","Pipiens","hx",0.3325,NA,NA,"hx_Pipiens"
"LV","23","Pipiens","current",0,0,0,"current_Pipiens"
"LV","23","Tarsalis","hx",15.54,0,0,"hx_Tarsalis"
"LV","23","Tarsalis","current",2.33,0,0,"current_Tarsalis"
"LV","24","Pipiens","hx",0.251,NA,NA,"hx_Pipiens"
"LV","24","Tarsalis","hx",14.876,0,0,"hx_Tarsalis"
"LV","25","Pipiens","hx",0.592,NA,NA,"hx_Pipiens"
"LV","25","Tarsalis","hx",55.066,0,0,"hx_Tarsalis"
"LV","26","Pipiens","hx",2.17,NA,NA,"hx_Pipiens"
"LV","26","Tarsalis","hx",78.049,0.00027,0.01245,"hx_Tarsalis"
"LV","27","Pipiens","hx",3.062,NA,NA,"hx_Pipiens"
"LV","27","Tarsalis","hx",141.041,0.00064,0.04516,"hx_Tarsalis"
"LV","28","Pipiens","hx",3.654,0,0,"hx_Pipiens"
"LV","28","Tarsalis","hx",137.102,0.00012,0.01614,"hx_Tarsalis"
"LV","29","Pipiens","hx",3.626,0,0,"hx_Pipiens"
"LV","29","Tarsalis","hx",94.867,0.0024,0.16623,"hx_Tarsalis"
"LV","30","Pipiens","hx",5.51818181818182,NA,NA,"hx_Pipiens"
"LV","30","Tarsalis","hx",105.227272727273,0.00363636363636364,0.3904,"hx_Tarsalis"
