"csu_id","test_code","ct_threshold","plate","copies_SLEV","copies_WNV","cq_SLEV","cq"
"SLEV RNA",0,34000,"plate_1",1e+06,17.13,19.46,34.02
"M23 (W+S)",1,34000,"plate_1",12697.05,105718.77,25.48,22.66
"SLEV RNA",0,34000,"plate_1",10000,34.23,25.82,33.12
"M31 (W)",1,34000,"plate_1",0,388415.53,55.55,20.96
"SLEV RNA",0,34000,"plate_1",100,38.47,32.16,32.97
"M1 (S)",0,34000,"plate_1",390356.25,3.82,20.76,35.98
"NTC",NA,34000,"plate_1",NA,NA,34.88,32.96
"EG neg ctl",NA,34000,"plate_1",0,NA,55.55,33.53
"EG pos ctl",1,34000,"plate_1",70267.09,6142613.5,23.13,17.37
"mos dil",NA,34000,"plate_1",NA,NA,35.21,32.52
"standard",1,34000,"plate_2",0,1e+06,55.55,18.84
"standard",1,34000,"plate_2",0,10000,55.55,25.01
"RMRP-00433",0,34000,"plate_2",6.15,33.37,35,32.54
"standard",0,34000,"plate_2",14.2,100,33.86,31.06
"RMRP-00434",0,34000,"plate_2",5.09,29.6,35.26,32.7
"standard",0,34000,"plate_2",1e+06,19.8,18.62,33.23
"standard",0,34000,"plate_2",10000,19.84,24.91,33.23
"pos ctrl (csu21004)",1,34000,"plate_2",0,2649.49,55.55,26.73
"standard",0,34000,"plate_2",0,0,55.55,55.55
"pos ctrl",1,34000,"plate_2",315028.34,20151254,20.2,14.87
"neg ctrl",0,34000,"plate_2",2.22,25.81,36.39,32.88
"pos ctrl",1,34000,"plate_2",958188.81,29182096,18.68,14.38
"mos dil",0,34000,"plate_2",4.58,27.22,35.4,32.81
