"zone","year","week","spp","n_trap","mosq","abund","pir","pir_lci","pir_uci","vi","vi_lci","vi_uci"
"SW",2015,34,"Pipiens",16,120,7.5,0.0235632243834601,0.00403425321459862,0.104342870634618,0.1767,0.0303,0.7826
"SW",2015,34,"Tarsalis",16,79,4.9,0,0,0.0381005679186451,0,0,0.1867
"SW",2015,35,"Tarsalis",11,45,4.1,0,0,0.0495180086667428,0,0,0.203
"SW",2015,35,"Pipiens",11,160,14.5,0.015822608233211,0.00294837594521727,0.0622596333006169,0.2294,0.0428,0.9028
"LV",2015,33,"Tarsalis",6,76,12.7,0,0,0.0327542429938401,0,0,0.416
"LV",2015,33,"Pipiens",6,23,3.8,0,0,0.0986876497141814,0,0,0.375
"NE",2015,33,"Tarsalis",14,128,9.1,0,0,0.0241163578521638,0,0,0.2195
"NE",2015,33,"Pipiens",14,489,34.9,0.00978279444441985,0.00316812332521875,0.0246710893750851,0.3414,0.1106,0.861
"NW",2015,33,"Tarsalis",8,30,3.8,0,0,0.0789842850407559,0,0,0.3001
"NW",2015,33,"Pipiens",8,53,6.6,0.0174837230837875,0.00118302024476684,0.081378541313633,0.1154,0.0078,0.5371
"SW",2015,33,"Pipiens",12,59,4.9,0,0,0.0393249470691997,0,0,0.1927
"LV",2015,34,"Tarsalis",6,146,24.3,0,0,0.0182126540720116,0,0,0.4426
"LV",2015,34,"Pipiens",6,37,6.2,0,0,0.0691148663547753,0,0,0.4285
"SE",2015,34,"Tarsalis",18,164,9.1,0.00608568414745094,0.00035895985430947,0.0295013799131888,0.0554,0.0033,0.2685
"SE",2015,34,"Pipiens",18,874,48.6,0.0157609517543551,0.00802499846941609,0.0292548236574042,0.766,0.39,1.4218
"NE",2015,34,"Tarsalis",14,72,5.1,0,0,0.0405192850907395,0,0,0.2066
"NE",2015,34,"Pipiens",14,235,16.8,0.0158618386119551,0.00417887769359878,0.0469296618967924,0.2665,0.0702,0.7884
"NW",2015,34,"Tarsalis",11,96,8.7,0,0,0.0300276990911414,0,0,0.2612
"NW",2015,34,"Pipiens",11,538,48.9,0.0180402352970139,0.00806980390689163,0.0376801407479175,0.8822,0.3946,1.8426
"LV",2015,35,"Tarsalis",6,118,19.7,0.0192878992312181,0.00389350867771185,0.0669372797903356,0.38,0.0767,1.3187
"LV",2015,35,"Pipiens",6,4,0.7,0,0,0.391791600007225,0,0,0.2743
"NE",2015,35,"Tarsalis",14,113,8.1,0.00855946293227772,0.000521341065512694,0.0407053156669317,0.0693,0.0042,0.3297
"NE",2015,35,"Pipiens",14,398,28.4,0.020972802043205,0.00861382429812386,0.0466918182878343,0.5956,0.2446,1.326
"SE",2015,35,"Tarsalis",18,72,4,0.0290810718848688,0.00529321668516619,0.0939536374904267,0.1163,0.0212,0.3758
"SE",2015,35,"Pipiens",18,458,25.4,0.0217510497783691,0.0095332848642989,0.0461656841124182,0.5525,0.2421,1.1726
"NW",2015,35,"Tarsalis",11,22,2,0,0,0.111656066006641,0,0,0.2233
"NW",2015,35,"Pipiens",11,156,14.2,0.0459829402364362,0.0146394366589087,0.152176361422842,0.653,0.2079,2.1609
"SE",2015,37,"Pipiens",14,260,18.6,0.0037692866425796,0.000226739698357863,0.0182966479041056,0.0701,0.0042,0.3403
"SE",2015,37,"Tarsalis",14,4,0.3,0,0,0.450747963896551,0,0,0.1352
"NE",2015,37,"Pipiens",13,194,14.9,0.00548776468196495,0.000310986557366094,0.0289497914658898,0.0818,0.0046,0.4314
"NE",2015,37,"Tarsalis",13,17,1.3,0,0,0.159522441023208,0,0,0.2074
"NW",2015,37,"Tarsalis",8,12,1.5,0,0,0.213153871339103,0,0,0.3197
"NW",2015,37,"Pipiens",8,35,4.4,0,0,0.0795277464429074,0,0,0.3499
"SW",2015,37,"Tarsalis",4,8,2,0,0,0.252655110255979,0,0,0.5053
"SW",2015,37,"Pipiens",4,5,1.2,0,0,0.270534508830767,0,0,0.3246
"NE",2015,24,"Pipiens",11,26,2.4,0,0,0.113196596214649,0,0,0.2717
"NW",2015,24,"Pipiens",10,12,1.2,0,0,0.206926383326873,0,0,0.2483
"SE",2015,24,"Pipiens",15,118,7.9,0,0,0.0224725112631969,0,0,0.1775
"SW",2015,24,"Pipiens",8,20,2.5,0,0,0.123336613411089,0,0,0.3083
"LV",2015,24,"Tarsalis",6,68,11.3,0,0,0.0339737135302051,0,0,0.3839
"NE",2015,24,"Tarsalis",11,121,11,0,0,0.0222003015552967,0,0,0.2442
"NW",2015,24,"Tarsalis",10,19,1.9,0,0,0.110906825137239,0,0,0.2107
"SW",2015,24,"Tarsalis",8,38,4.8,0,0,0.0730917643788097,0,0,0.3508
"SE",2015,24,"Tarsalis",15,78,5.2,0,0,0.0367790247392562,0,0,0.1913
"NE",2016,24,"Pipiens",9,4,0.4,0,0,0.0705284825588652,0,0,0.0282
"NE",2016,24,"Tarsalis",9,15,1.7,0,0,0.16958472636534,0,0,0.2883
"LV",2016,24,"Tarsalis",6,43,7.2,0,0,0.0591082432791104,0,0,0.4256
"LV",2016,24,"Pipiens",6,4,0.7,0,0,0.325850930484706,0,0,0.2281
"NW",2016,24,"Tarsalis",5,3,0.6,0,0,0.408881453176683,0,0,0.2453
"SE",2016,24,"Tarsalis",10,19,1.9,0,0,0.144837279207303,0,0,0.2752
"SE",2016,24,"Pipiens",10,8,0.8,0,0,0.0590387582626116,0,0,0.0472
"NW",2016,24,"Pipiens",5,7,1.4,0,0,0.287488394035955,0,0,0.4025
"SW",2016,24,"Tarsalis",2,2,1,0,0,0.545523032071769,0,0,0.5455
"SW",2016,24,"Pipiens",2,2,1,0,0,0.160829714922058,0,0,0.1608
"NE",2016,25,"Tarsalis",9,98,10.9,0,0,0.0287257272107136,0,0,0.3131
"NE",2016,25,"Pipiens",9,32,3.6,0,0,0.0384708513161053,0,0,0.1385
"LV",2016,25,"Tarsalis",6,316,52.7,0,0,0.00980797228464505,0,0,0.5169
"LV",2016,25,"Pipiens",6,2,0.3,0,0,0.545523032071769,0,0,0.1637
"NW",2016,25,"Tarsalis",8,17,2.1,0,0,0.147991367261487,0,0,0.3108
"SE",2016,25,"Tarsalis",13,128,9.8,0,0,0.0223578493336089,0,0,0.2191
"SE",2016,25,"Pipiens",13,10,0.8,0,0,0.0395323943909323,0,0,0.0316
"NW",2016,25,"Pipiens",8,8,1,0,0,0.122611544310797,0,0,0.1226
"SW",2016,25,"Tarsalis",5,20,4,0,0,0.110911136429137,0,0,0.4436
"SW",2016,25,"Pipiens",5,5,1,0,0,0.0666723741083426,0,0,0.0667
"LV",2016,26,"Tarsalis",6,369,61.5,0.00273828388850319,0.000160514740980092,0.0137237106054714,0.1684,0.0099,0.844
"LV",2016,26,"Pipiens",6,3,0.5,0,0,0.408881453176683,0,0,0.2044
"NW",2016,26,"Tarsalis",9,38,4.2,0,0,0.0705123916073853,0,0,0.2962
"NE",2016,26,"Tarsalis",10,145,14.5,0,0,0.0201456194344703,0,0,0.2921
"NE",2016,26,"Pipiens",10,53,5.3,0,0,0.0175697241520452,0,0,0.0931
"SE",2016,26,"Tarsalis",13,367,28.2,0,0,0.00873304591289458,0,0,0.2463
"SE",2016,26,"Pipiens",13,39,3,0,0,0.0199558911405591,0,0,0.0599
"NW",2016,26,"Pipiens",9,22,2.4,0,0,0.073641918441532,0,0,0.1767
"SW",2016,26,"Tarsalis",8,30,3.8,0,0,0.0927529565964463,0,0,0.3525
"SW",2016,26,"Pipiens",8,11,1.4,0,0,0.0834745480761978,0,0,0.1169
"NE",2016,27,"Pipiens",9,100,11.1,0,0,0.0154429233426791,0,0,0.1714
"NE",2016,27,"Tarsalis",9,163,18.1,0,0,0.0179174699662949,0,0,0.3243
"LV",2016,27,"Tarsalis",6,177,29.5,0.00576211971755891,0.000343700186737528,0.0296849439209034,0.17,0.0101,0.8757
"LV",2016,27,"Pipiens",6,17,2.8,0,0,0.145844946910199,0,0,0.4084
"NW",2016,27,"Tarsalis",9,47,5.2,0,0,0.0618767741418158,0,0,0.3218
"NW",2016,27,"Pipiens",9,65,7.2,0,0,0.0121980333811595,0,0,0.0878
"SE",2016,27,"Tarsalis",12,569,47.4,0.00170297840686256,0.000102033743357918,0.0081549713457333,0.0807,0.0048,0.3865
"SE",2016,27,"Pipiens",12,86,7.2,0.00493710881155642,0.000295766752124441,0.0243556451970865,0.0355,0.0021,0.1754
"SW",2016,27,"Tarsalis",2,4,2,0,0,0.391791600007225,0,0,0.7836
"SW",2016,27,"Pipiens",2,12,6,0,0,0.144528138217537,0,0,0.8672
"LV",2016,28,"Tarsalis",6,466,77.7,0,0,0.00698693453613297,0,0,0.5429
"NE",2016,28,"Tarsalis",10,579,57.9,0,0,0.00577398492109462,0,0,0.3343
"NE",2016,28,"Pipiens",10,88,8.8,0.00486266343398874,0.000281538058793041,0.0248876528387537,0.0428,0.0025,0.219
"LV",2016,28,"Pipiens",6,10,1.7,0,0,0.174928479441464,0,0,0.2974
"SE",2016,28,"Pipiens",15,48,3.2,0,0,0.0192128690415533,0,0,0.0615
"SE",2016,28,"Tarsalis",15,663,44.2,0,0,0.00519433110661377,0,0,0.2296
"NW",2016,28,"Tarsalis",9,340,37.8,0,0,0.00917156422515039,0,0,0.3467
"NW",2016,28,"Pipiens",9,132,14.7,0,0,0.0120438259425134,0,0,0.177
"SW",2016,28,"Tarsalis",8,77,9.6,0,0,0.0332118555959139,0,0,0.3188
"SW",2016,28,"Pipiens",8,29,3.6,0,0,0.0261763319733236,0,0,0.0942
"LV",2016,29,"Tarsalis",6,376,62.7,0.00268798241133922,0.000157405901046376,0.0134510307445766,0.1685,0.0099,0.8434
"LV",2016,29,"Pipiens",6,15,2.5,0,0,0.159030386418162,0,0,0.3976
"NE",2016,29,"Tarsalis",10,537,53.7,0,0,0.00625405841831194,0,0,0.3358
"NE",2016,29,"Pipiens",10,151,15.1,0.00289889099630161,0.000167382480791103,0.0145781905218836,0.0438,0.0025,0.2201
"NW",2016,29,"Tarsalis",9,310,34.4,0.00327423855854267,0.000192199773059322,0.0165007988360445,0.1126,0.0066,0.5676
"NW",2016,29,"Pipiens",9,106,11.8,0,0,0.0186212531784891,0,0,0.2197
"SE",2016,29,"Tarsalis",14,306,21.9,0,0,0.0105422393525318,0,0,0.2309
"SE",2016,29,"Pipiens",14,43,3.1,0.00488532266898416,0.000283472190925508,0.0252676369572158,0.0151,9e-04,0.0783
"SW",2016,29,"Tarsalis",8,128,16,0,0,0.0211263597723528,0,0,0.338
"SW",2016,29,"Pipiens",8,14,1.8,0,0,0.00689333193298502,0,0,0.0124
"NE",2016,30,"Tarsalis",10,430,43,0.00230831510675505,0.00013624555042473,0.0112960495795462,0.0993,0.0059,0.4857
"LV",2016,30,"Tarsalis",6,569,94.8,0.00370068765324832,0.000669257826946451,0.0124191875308731,0.3508,0.0634,1.1773
"LV",2016,30,"Pipiens",6,19,3.2,0,0,0.129968549076232,0,0,0.4159
"NE",2016,30,"Pipiens",10,136,13.6,0,0,0.0106344078845914,0,0,0.1446
"NW",2016,30,"Tarsalis",9,248,27.6,0,0,0.0122349832812879,0,0,0.3377
"NW",2016,30,"Pipiens",9,170,18.9,0,0,0.00825682990750011,0,0,0.1561
"SE",2016,30,"Tarsalis",14,725,51.8,0.0079322157039853,0.00296732162946828,0.0179619649095745,0.4109,0.1537,0.9304
"SE",2016,30,"Pipiens",14,73,5.2,0.0175361854573457,0.00580775038828652,0.0443652052759202,0.0912,0.0302,0.2307
"SW",2016,30,"Pipiens",8,24,3,0,0,0.0279670648729977,0,0,0.0839
"SW",2016,30,"Tarsalis",8,158,19.8,0,0,0.0172794464223021,0,0,0.3421
"NE",2016,31,"Tarsalis",10,345,34.5,0,0,0.00915720987311582,0,0,0.3159
"NE",2016,31,"Pipiens",10,245,24.5,0.0184092756615941,0.00675023985970152,0.0446606853685891,0.451,0.1654,1.0942
"LV",2016,31,"Tarsalis",6,355,59.2,0,0,0.00877595851213913,0,0,0.5195
"LV",2016,31,"Pipiens",6,23,3.8,0,0,0.113631712565261,0,0,0.4318
"NW",2016,31,"Tarsalis",9,324,36,0.0067834597664131,0.00122856893291918,0.0233248433021066,0.2442,0.0442,0.8397
"NW",2016,31,"Pipiens",9,199,22.1,0,0,0.0134715003161548,0,0,0.2977
"SE",2016,31,"Tarsalis",15,767,51.1,0.00418020145630811,0.0011053598903548,0.0115216254963111,0.2136,0.0565,0.5888
"SE",2016,31,"Pipiens",15,110,7.3,0.0253083219197244,0.0107358240869523,0.0557602143247227,0.1848,0.0784,0.407
"SW",2016,31,"Tarsalis",8,207,25.9,0.0164361713487768,0.00466398752450074,0.0452793048312003,0.4257,0.1208,1.1727
"SW",2016,31,"Pipiens",8,30,3.8,0,0,0.0184157772568824,0,0,0.07
"NE",2016,32,"Tarsalis",10,634,63.4,0.0050521487541832,0.00135253880413028,0.013860716557322,0.3203,0.0858,0.8788
"NE",2016,32,"Pipiens",10,321,32.1,0.00828675694362209,0.00232661985672895,0.0218789391539954,0.266,0.0747,0.7023
"LV",2016,32,"Tarsalis",5,414,82.8,0.00508665727172114,0.000936415595132237,0.0170414296856517,0.4212,0.0775,1.411
"LV",2016,32,"Pipiens",5,19,3.8,0.0544488549744435,0.0034360048152217,0.281811226055612,0.2069,0.0131,1.0709
"NW",2016,32,"Pipiens",8,290,36.2,0.00501899587194359,0.000908750156763702,0.0170484271820054,0.1817,0.0329,0.6172
"NW",2016,32,"Tarsalis",8,226,28.2,0.00853525616483236,0.00169899662831145,0.0268769374862508,0.2407,0.0479,0.7579
"SW",2016,32,"Tarsalis",9,139,15.4,0.00782441361657513,0.000436096163081454,0.0430285826484531,0.1205,0.0067,0.6626
"SW",2016,32,"Pipiens",9,32,3.6,0.0171309412882643,0.00339842798528731,0.0591748904731565,0.0617,0.0122,0.213
"SE",2016,32,"Tarsalis",15,495,33,0.00652670648510047,0.00174430105577228,0.0179966047279747,0.2154,0.0576,0.5939
"SE",2016,32,"Pipiens",15,95,6.3,0.0264249069203219,0.0108197555141368,0.0615116834705921,0.1665,0.0682,0.3875
"NE",2016,33,"Tarsalis",10,516,51.6,0.0087599932562591,0.00289639903930875,0.0215333623214173,0.452,0.1495,1.1111
"NE",2016,33,"Pipiens",10,425,42.5,0.0113205666052619,0.00535115670138811,0.0219405543524609,0.4811,0.2274,0.9325
"LV",2016,33,"Tarsalis",6,289,48.2,0.00781327897311819,0.00140393812293196,0.0274916417404895,0.3766,0.0677,1.3251
"LV",2016,33,"Pipiens",6,16,2.7,0,0,0.150667624126721,0,0,0.4068
"NW",2016,33,"Tarsalis",9,209,23.2,0.010478815968174,0.0019465383319128,0.0357199059266005,0.2431,0.0452,0.8287
"NW",2016,33,"Pipiens",9,221,24.6,0.00334638874426758,0.000198847591387245,0.0165502997513037,0.0823,0.0049,0.4071
"SE",2016,33,"Tarsalis",15,394,26.3,0.0118761072520811,0.00389376246322337,0.0295339558248559,0.3123,0.1024,0.7767
"SE",2016,33,"Pipiens",15,96,6.4,0.01545375834846,0.00411440362905024,0.0455587817469257,0.0989,0.0263,0.2916
"SW",2016,33,"Tarsalis",9,85,9.4,0,0,0.0336624254368614,0,0,0.3164
"SW",2016,33,"Pipiens",9,20,2.2,0.0471818466648777,0.00884249945713011,0.272051504180932,0.1038,0.0195,0.5985
"SW",2016,34,"Tarsalis",9,68,7.6,0,0,0.0385057748855131,0,0,0.2926
"SW",2016,34,"Pipiens",9,9,1,0,0,0.0298108435743749,0,0,0.0298
"SE",2016,34,"Tarsalis",15,124,8.3,0.0167191874165907,0.00310564874078415,0.0542660569282391,0.1388,0.0258,0.4504
"SE",2016,34,"Pipiens",15,49,3.3,0.0163081018108092,0.00447981184931712,0.0461124413865572,0.0538,0.0148,0.1522
"LV",2016,34,"Tarsalis",8,153,19.1,0.0137369961874953,0.0026510612160801,0.0448294327288037,0.2624,0.0506,0.8562
"LV",2016,34,"Pipiens",8,32,4,0.0163711350215797,0.00426974359673375,0.0507718492237446,0.0655,0.0171,0.2031
"NW",2016,34,"Pipiens",9,60,6.7,0.01747710471519,0.00556367613932076,0.0478751304012324,0.1171,0.0373,0.3208
