"zone","year","week","spp","pir_old","pir_lci_old","pir_uci_old","pir_new","pir_lci_new","pir_uci_new"
"FC",2022,28,"All",7e-04,2e-04,0.0018,9e-04,3e-04,0.0022
"NE",2015,37,"All",0.0052,3e-04,0.0275,0.005,3e-04,0.0264
"FC",2021,35,"Tarsalis",0.0056,3e-04,0.0271,0.0054,3e-04,0.0264
"FC",2025,35,"Tarsalis",0.0066,4e-04,0.0314,0.0064,4e-04,0.0306
"NW",2015,33,"Pipiens",0.0177,0.0012,0.0827,0.0175,0.0012,0.0814
"FC",2015,33,"All",0.0101,0.0053,0.0179,0.0099,0.0052,0.0176
"SW",2015,34,"All",0.0124,0.0021,0.0462,0.0122,0.0021,0.0453
"FC",2015,34,"Pipiens",0.0179,0.0114,0.0273,0.0177,0.0113,0.027
"SW",2016,32,"All",0.0133,0.0035,0.0382,0.0131,0.0035,0.0377
"SE",2016,34,"All",0.0172,0.0065,0.0384,0.017,0.0065,0.0381
"SE",2017,36,"All",0.0136,8e-04,0.0644,0.0134,8e-04,0.0636
"SE",2018,35,"Tarsalis",0.0231,0.0063,0.064,0.0229,0.0062,0.0635
"NE",2021,33,"Tarsalis",0.0329,0.0118,0.0906,0.0327,0.0117,0.0897
"NW",2021,34,"All",0.0192,0.0052,0.0562,0.019,0.0051,0.0555
"SW",2022,35,"All",0.0144,0.0036,0.0442,0.0142,0.0036,0.0438
"BE",2022,35,"Pipiens",0.0161,0.0013,0.0718,0.0159,0.0012,0.0707
"NW",2023,31,"Pipiens",0.024,0.0072,0.0658,0.0238,0.0071,0.0653
"SE",2023,31,"Pipiens",0.0277,0.0122,0.0604,0.0275,0.0121,0.0598
"SE",2023,34,"Pipiens",0.0392,0.0166,0.0862,0.039,0.0164,0.0856
"FC",2023,35,"Tarsalis",0.011,0.0019,0.0372,0.0108,0.0019,0.0364
"SE",2024,36,"Pipiens",0.0177,0.0033,0.0578,0.0175,0.0032,0.0573
"FC",2024,36,"Pipiens",0.0156,0.0074,0.0301,0.0154,0.0072,0.0297
"SE",2025,30,"Pipiens",0.0266,0.0082,0.0736,0.0264,0.0081,0.073
"SW",2025,33,"Pipiens",0.024,0.0041,0.1169,0.0238,0.0041,0.1143
"FC",2025,33,"Tarsalis",0.0136,0.006,0.0274,0.0134,0.0059,0.027
"FC",2025,33,"All",0.0178,0.0111,0.0275,0.0176,0.011,0.0272
"NE",2025,34,"All",0.0247,0.0112,0.0493,0.0245,0.0112,0.049
"FC",2025,34,"Pipiens",0.0195,0.0108,0.0332,0.0193,0.0107,0.033
"LV",2025,34,"Pipiens",0.0163,0.0011,0.0792,0.0161,0.0011,0.0778
"LV",2025,34,"All",0.0264,0.0105,0.0608,0.0262,0.0104,0.0604
"SE",2025,37,"Pipiens",0.018,0.0034,0.0631,0.0178,0.0033,0.0619
"SE",2018,34,"Pipiens",0.0164,0.0065,0.0361,0.0163,0.0064,0.036
"SE",2018,35,"All",0.0347,0.0161,0.0708,0.0346,0.016,0.0705
"SE",2022,35,"Tarsalis",0.0238,0.0089,0.0549,0.0237,0.0089,0.0546
"FC",2023,32,"Tarsalis",0.0158,0.0089,0.0265,0.0157,0.0089,0.0265
"NE",2023,33,"All",0.0193,0.0093,0.0373,0.0192,0.0092,0.0371
"SW",2025,33,"All",0.0227,0.0081,0.0569,0.0226,0.0081,0.0566
"FC",2025,34,"All",0.0221,0.0143,0.0331,0.022,0.0143,0.033
"NW",2015,29,"Pipiens",0.0082,5e-04,0.0441,0.0081,5e-04,0.0437
"SW",2015,31,"Pipiens",0.0097,5e-04,0.0552,0.0096,5e-04,0.0546
"FC",2015,33,"Pipiens",0.014,0.0074,0.0249,0.0139,0.0073,0.0248
"NW",2015,34,"All",0.0145,0.0064,0.03,0.0144,0.0063,0.0297
"FC",2015,34,"All",0.014,0.009,0.0212,0.0139,0.0089,0.0209
"SW",2016,32,"Tarsalis",0.0079,4e-04,0.0434,0.0078,4e-04,0.043
"NE",2016,33,"Pipiens",0.0114,0.0054,0.022,0.0113,0.0054,0.0219
"FC",2016,33,"Tarsalis",0.0097,0.005,0.0174,0.0096,0.0049,0.0174
"FC",2016,34,"Pipiens",0.0148,0.0073,0.0279,0.0147,0.0072,0.0277
"FC",2016,34,"All",0.0122,0.0064,0.0215,0.0121,0.0064,0.0214
"NW",2018,35,"Pipiens",0.0099,6e-04,0.0534,0.0098,6e-04,0.0523
"SW",2021,33,"Pipiens",0.0154,0.005,0.0409,0.0153,0.005,0.0406
"FC",2021,33,"Tarsalis",0.014,0.0057,0.0304,0.0139,0.0056,0.0302
"FC",2021,34,"All",0.0117,0.0069,0.019,0.0116,0.0068,0.0189
"NW",2022,32,"Pipiens",0.0099,6e-04,0.0486,0.0098,6e-04,0.0482
"LV",2022,35,"All",0.0131,0.0035,0.037,0.013,0.0035,0.0367
"NW",2023,29,"Pipiens",0.0117,0.0044,0.0267,0.0116,0.0044,0.0266
"FC",2023,29,"Pipiens",0.0111,0.0063,0.0184,0.011,0.0063,0.0184
"NW",2023,32,"Pipiens",0.0088,5e-04,0.0468,0.0087,5e-04,0.0463
"SE",2023,32,"All",0.0111,0.0052,0.0214,0.011,0.0052,0.0214
"FC",2023,32,"Pipiens",0.0094,0.0038,0.0198,0.0093,0.0038,0.0197
"FC",2023,32,"All",0.0131,0.0081,0.0202,0.013,0.0081,0.0201
"SE",2023,33,"Tarsalis",0.0082,5e-04,0.0389,0.0081,5e-04,0.0386
"SW",2023,34,"All",0.0148,0.0051,0.035,0.0147,0.005,0.0348
"BE",2023,35,"All",0.0082,5e-04,0.0421,0.0081,5e-04,0.0417
"SW",2024,32,"All",0.0088,5e-04,0.0412,0.0087,5e-04,0.0409
"SW",2025,28,"Pipiens",0.0122,9e-04,0.0543,0.0121,9e-04,0.0536
"SE",2025,29,"Pipiens",0.0119,0.0032,0.0331,0.0118,0.0032,0.0329
"FC",2025,29,"All",0.0111,0.0075,0.0158,0.011,0.0075,0.0158
"BE",2025,29,"All",0.0137,0.0065,0.0265,0.0136,0.0065,0.0264
"SE",2025,31,"Tarsalis",0.0079,0.0021,0.0223,0.0078,0.0021,0.0221
"SW",2025,31,"Pipiens",0.0117,7e-04,0.0644,0.0116,6e-04,0.0636
"NE",2025,32,"Pipiens",0.0122,0.0036,0.032,0.0121,0.0035,0.0317
"SE",2015,26,"Pipiens",0.0032,2e-04,0.0155,0.0031,2e-04,0.0154
"FC",2015,32,"All",0.0037,0.0016,0.0072,0.0036,0.0016,0.0072
"FC",2015,34,"Tarsalis",0.0025,1e-04,0.012,0.0024,1e-04,0.0118
"FC",2015,37,"Pipiens",0.0043,8e-04,0.0143,0.0042,8e-04,0.0141
"FC",2015,37,"All",0.004,7e-04,0.0135,0.0039,7e-04,0.013
"SE",2016,27,"Pipiens",0.005,3e-04,0.0246,0.0049,3e-04,0.0244
"SE",2016,29,"Pipiens",0.005,3e-04,0.0258,0.0049,3e-04,0.0253
"NW",2016,35,"All",0.0059,4e-04,0.0274,0.0058,4e-04,0.0271
"NE",2017,32,"Pipiens",0.006,4e-04,0.0284,0.0059,4e-04,0.0281
"FC",2017,32,"Pipiens",0.0046,8e-04,0.0151,0.0045,8e-04,0.0148
"FC",2017,32,"All",0.0041,0.0013,0.0097,0.004,0.0013,0.0097
"NE",2017,33,"Pipiens",0.0073,4e-04,0.0361,0.0072,4e-04,0.0358
